Gene name	Chromosome/scaffold name	Karyotype band	Gene start (bp)	Gene end (bp)
AC078850.1	4	q28.2	128567972	128570531
SLC6A17	1	p13.3	110150486	110202202
AL137026.1	10	q11.21	44282926	44293709
CTAGE13P	6	q27	168286905	168289350
MAFA	8	q24.3	143419182	143430406
QTRT2	3	q13.31	114005833	114088422
PTPRS	19	p13.3	5158495	5340803
LINC00339	1	p36.12	22024558	22031223
RPP21	CHR_HSCHR6_MHC_APD_CTG1		30393209	30410787
AC114928.1	5	q14.3	85112342	85112756
AC105118.1	8	q24.3	143412749	143417054
OR3A1	17	p13.3	3291017	3298360
AC087498.2	17	p13.3	3311218	3311934
RIPOR2	6	p22.3	24804281	25042170
AKR1C1	10	p15.1	4963253	4983283
ZNF658	9	q21.11	66856426	66932141
AC068042.1	2	q31.2	179399728	179400875
AL353597.1	6	p21.2	37545145	37550860
AC093911.1	2	q31.2	179273831	179285707
C21orf62-AS1	21	q22.11	32772100	32893735
AC092490.2	12	p13.31	8664011	8669011
AL137792.2	1	p35.3	28109739	28110298
GSG1	12	p13.1	13083560	13103683
LINC01217	4	q24	100778582	100791235
AP001437.1	21	q22.13	37365477	37365932
AC004383.1	X	q26.3	134522702	134522990
MRPL17	11	p15.4	6680782	6683401
AC007391.2	2	p22.2	37339957	37343796
IGSF9B	11	q25	133908564	133956985
ZNF468	19	q13.41	52838008	52890375
LINC02065	5	q12.3	66206212	66209447
ZNF763	19	p13.2	11965037	11980381
ZNF888	19	q13.41	52904417	52923481
UBL7	15	q24.1	74445977	74461182
MTND5P34	16	q12.2	55007982	55008306
TRIM29	11	q23.3	120111275	120185529
ABI1	10	p12.1	26746593	26861087
AC018692.2	21	p11.2	9810501	9810848
TMEM107	17	p13.1	8173237	8176399
BAIAP2-DT	17	q25.3	81029130	81034881
EGFLAM-AS3	5	p13.2	38345347	38346551
FAM242F	9	p11.2	41657708	41699072
IFNA4	9	p21.3	21186694	21187671
AL132642.2	14	q32.12	93895762	93897759
AC006270.2	17	q23.3	63182166	63182817
AL031665.1	20	p13	1186092	1207036
TRIM10	CHR_HSCHR6_MHC_QBL_CTG1		30141481	30150469
AL161787.1	9	q21.33	87525302	87525475
HEXDC-IT1	17	q25.3	82425498	82427310
RFX8	2	q11.2	101397361	101474703
TRPM2-AS	21	q22.3	44414588	44425272
AC233723.1	17	p13.2	4801159	4807013
AP000812.2	11	q13.4	72172455	72177954
AC007308.1	22	q11.21	20889206	20891214
SYNRG	CHR_HSCHR17_7_CTG4		37519433	37614077
RNF5P1	8	p11.22	38600661	38601200
UGT2A3	4	q13.2	68928463	68951791
ORAI2	7	q22.1	102433106	102456821
AC073517.1	7	q22.1	102426818	102434780
IGSF21	1	p36.13	18107746	18378483
RPS2P44	16	q12.1	48577524	48578369
ACOX3	4	p16.1	8366282	8440723
MILR1	17	q23.3	64449037	64468643
EYA3	1	p35.3	27970344	28088696
MPZL2	11	q23.3	118253403	118264536
ICA1	7	p21.3	8113184	8262687
AC037450.1	8	q21.3	87974165	88019113
AL512288.2	1	p35.3	27990158	27990524
LINC01959	5	q31.1	135648584	135653935
PPIAP57	18	q11.2	24689914	24690161
AL359736.2	13	q12.12	24323021	24323457
TIFAB	5	q31.1	135444218	135452399
FAM215B	17	q21.31	46558830	46562795
AC004943.1	16	q22.3	72805998	72809872
AC087565.2	16	q22.3	73794079	73809733
TDRP	8	p23.3	489792	545781
AC097512.1	4	p15.2	22997551	23056862
Z68694.1	X	q22.1	103258572	103259581
AC020923.1	5	q14.3	86305233	86306149
AC011626.1	8	q24.12	121113358	121113919
AC064862.2	7	p11.2	57652736	57653459
OR1E3	17	p13.3	3116427	3117374
LINC00528	22	q11.21	17777322	17779481
AC036108.3	15	q26.3	99139317	99145370
AC106806.2	5	q23.1	121671373	121671872
AC074085.2	7	q31.32	121440834	121441261
AC005774.1	16	p13.3	7614230	7614992
TMBIM1	2	q35	218274192	218292586
ATXN7L3	17	q21.31	44191805	44200113
APPL1	3	p14.3	57227726	57278105
AC000068.3	22	q11.21	19454179	19454605
COL1A2	7	q21.3	94394561	94431232
FO393409.1	X	q26.2	134272287	134273658
ATP6V1G1	9	q32	114587746	114598373
AL445647.2	13	q31.2	87765752	87765881
FAM3C	7	q31.31	121348851	121396364
VN1R76P	18	q21.2	52419189	52419644
AC233723.2	17	p13.2	4787057	4789162
NINJ1	9	q22.31	93121489	93134288
AP001625.3	21	q22.3	42496539	42497443
XKR8	1	p35.3	27959462	27968096
LIN28AP2	13	q31.2	87379472	87380258
MIR4500HG	13	q31.2	87427214	87671259
LINC00430	13	q31.1	86909586	86937108
TXNL1P1	13	q31.1	86725500	86726053
IL2RA	10	p15.1	6010689	6062370
HUWE1	X	p11.22	53532096	53686729
AC087481.2	15	q13.2	30899480	30900327
AC087481.1	15	q13.2	30882267	30883231
GORASP1	3	p22.2	39096659	39108363
GNAZ	22	q11.22	23070361	23125037
DNTT	10	q24.1	96304396	96338564
IGHJ3P	CHR_HSCHR14_3_CTG1		105864187	105864236
AL136181.1	10	q24.1	96292685	96306695
LAT	16	p11.2	28984826	28990783
AC093899.2	2	q31.1	169479480	169525922
GABRG1	4	p12	46035769	46124081
CIITA	16	p13.13	10866222	10943021
ACER2	9	p22.1	19409059	19452020
AP002884.3	11	q23.1	112086903	112193805
AP002884.2	11	q23.1	112165197	112172606
TXN2	22	q12.3	36467036	36482030
LDHBP1	13	q34	113276616	113277734
GPCPD1	20	p12.3	5544404	5611026
AP001412.1	21	q22.13	37267784	37268497
AC109460.3	16	p11.2	28974804	28990775
AC135507.1	3	p14.3	58428255	58428815
GSDMB	17	q21.1	39904595	39919854
C6orf62	6	p22.3	24704861	24720836
AL512641.1	10	p12.31	18746433	18747853
AC067805.1	15	q26.1	88952683	88953460
AC105094.1	18	q21.33	61681653	61682695
GPC3	X	q26.2	133535745	133985895
AC099654.9	7	p11.2	57190300	57190460
AC099654.11	7	p11.2	57189578	57190226
AL109935.1	20	p12.3	5533628	5535889
LINC01729	20	p12.3	5507875	5510002
AC138969.2	16	p13.11	16308542	16310000
SCGB1D4	11	q12.3	62296277	62299064
NOL11	17	q24.2	67717833	67744531
LENG8	CHR_HSCHR19_4_CTG3_1		54456812	54469943
AP000919.1	18	p11.31	2945550	2946890
GCNT2P	6	p24.2	10633762	10634695
SCGB2A2	11	q12.3	62270155	62273156
LINC02434	4	q35.2	188160065	188161139
AC138781.1	4	q35.2	188140822	188143379
AC245014.3	1	q21.1	145281116	145281462
AC015977.2	2	p23.3	26671254	26674464
AL353796.1	10	p11.23	30302826	30306066
PPIAL4D	1	q21.1	145241630	145242124
AC241585.2	1	q21.1	145214851	145215938
HMX2	10	q26.13	123148122	123150672
PDAP1	7	q22.1	99392048	99408829
AC006449.7	17	q12	38727833	38728198
VTI1BP3	12	q13.13	53131350	53131985
EEF1A1P39	10	p11.23	30301823	30302072
AC098657.2	1	p31.1	80114943	80116918
AC004975.2	7	q36.3	157281536	157282686
AL645998.1	10	q11.22	45725694	45726038
PLEKHG2	19	q13.2	39412585	39428415
ADK	10	q22.2	74151185	74709303
SYNE4	19	q13.12	36003299	36008793
AC104837.2	1	p31.1	78666272	78666695
TMEM161A	19	p13.11	19119169	19138513
AL121972.1	6	q13	73523618	73570596
ITIH4-AS1	3	p21.1	52823935	52825314
RARS	5	q34	168486445	168519299
AC123788.2	11	p15.4	3335125	3335407
LINC01424	21	q22.3	44802577	44804717
EIPR1-IT1	2	p25.3	3298341	3301465
WASHC2C	10	q11.22	45727200	45792961
AC233280.13	CHR_HSCHR3_7_CTG3		195650146	195651472
AC233280.14	CHR_HSCHR3_7_CTG3		195655565	195657927
RPL23AP47	6	q27	170745518	170745977
AL731684.1	6	q27	170736173	170737777
DEFB131A	4	p16.1	9444534	9450514
AL731661.1	6	q27	170725197	170728488
ZNF436-AS1	1	p36.12	23368997	23371839
AL358335.1	14	q21.3	48398310	48399375
AC034105.4	16	p11.2	31963803	31964079
AC073648.3	4	p16.1	8981436	8982360
RD3L	14	q32.33	103940426	103942561
DICER1-AS1	14	q32.13	95157645	95179933
NPM1P18	7	p14.2	36818959	36819690
AL590824.1	6	q14.1	80555841	80557189
PLEKHA2	8	p11.22	38901235	38973909
HTR1D	1	p36.12	23191895	23194729
AL008628.1	6	q27	170414139	170419325
AKIRIN1P1	12	q21.31	80561017	80561560
HNRNPA1P13	5	q31.1	136428892	136429854
AL133260.2	6	q25.1	151054897	151056057
TRIM39	CHR_HSCHR6_MHC_DBB_CTG1		30316726	30333982
AP001464.1	21	q11.2	12999676	13016692
ECM1P1	9	p24.1	4768617	4769895
AC005833.2	12	p13.32	4806542	4808641
AC016074.1	8	q24.13	125749055	125750241
AC005832.3	12	p13.32	4635349	4636140
FAM120B	6	q27	170290703	170407065
VEGFA	6	p21.1	43770184	43786487
LINC00613	4	q28.3	135866983	135913680
DNM1P34	15	q24.2	75299953	75302965
CUBNP2	10	q11.21	45232026	45247361
HSFX1	X	q28	149774068	149776867
POC5	5	q13.3	75674124	75717481
AC244098.1	X	q28	149758021	149758295
LUZP4P1	10	p12.31	21247752	21248095
ABCF1	CHR_HSCHR6_MHC_MCF_CTG1		30649829	30675633
VEGFB	11	q13.1	64234538	64238793
AP003785.1	11	q13.4	72410716	72412079
CLDN7	17	p13.1	7259903	7263983
MZF1-AS1	19	q13.43	58559129	58574797
NIPSNAP1	22	q12.2	29554808	29581337
TNP2	16	p13.13	11267748	11269533
AC003688.1	17	p13.1	7246829	7262089
MAST4-AS1	5	q12.3	67001383	67003953
RAB3B	1	p32.3	51907956	51990764
PRM3	16	p13.13	11273218	11273641
AP000769.3	11	q13.1	65487241	65488228
AC010970.1	Y	p11.2	10197256	10199103
AC022211.3	17	q25.1	75138416	75141350
AL161672.1	1	p36.12	23140325	23141142
AC006987.3	Y	p11.2	10090802	10091207
AL031428.1	1	p36.12	23020147	23088058
RTKN	2	p13.1	74425836	74442422
ADM5	19	q13.33	49688664	49690575
AL035252.3	20	p11.21	25229150	25231933
AL121772.1	20	p11.21	25239007	25245229
PHF10	6	q27	169703905	169725566
AC092070.4	19	q13.42	53267870	53270932
PROK1	1	p13.3	110451200	110457354
IGHV3-47	CHR_HSCHR14_3_CTG1		106543263	106543708
CPZ	4	p16.1	8592660	8619759
AOAH-IT1	7	p14.2	36597834	36600120
NEDD1	12	q23.1	96907223	96953777
HMGCR	5	q13.3	75336329	75362104
AC022795.1	18	q11.1	21119182	21119661
COPS7A	12	p13.31	6723741	6731875
LINC02603	9	q22.32	94176602	94204568
AL109614.1	20	q11.23	37526642	37527060
GBP5	1	p22.2	89258950	89272804
AC091808.1	X	p11.4	39401252	39434824
MCFD2	2	p21	46901870	46941855
LINC01281	X	p11.4	39304956	39327362
SERPINA4	14	q32.13	94561091	94569913
PHBP1	6	q25.1	150042546	150043353
RPL12P41	19	q13.32	46219423	46219920
ZNF136	19	p13.2	12163064	12189881
AC007066.1	9	q33.2	123029373	123029753
AC233724.6	5	p15.1	17601882	17602134
GPR21	9	q33.2	123034527	123035696
GBP4	1	p22.2	89181148	89198932
FAM170B	10	q11.23	49131154	49134008
AL161935.3	10	p11.22	31693084	31707388
AC092535.4	4	p16.3	1167778	1168174
AC080128.1	3	q22.1	133760300	133762363
ACAA1	3	p22.2	38103129	38137242
CCR12P	13	q32.3	99404684	99417224
AC121154.1	4	q28.1	124149377	124252044
PPIAP76	4	q28.1	124062462	124062990
AP000346.3	22	q11.23	23610329	23610538
MOG	CHR_HSCHR6_MHC_DBB_CTG1		29656933	29672325
C10orf113	10	p12.31	21125763	21146559
UGT2A2	4	q13.3	69589309	69639642
IGLL1	22	q11.23	23573125	23580308
LINC00323	21	q22.2	41141493	41148133
YRDCP3	21	q22.2	40863994	40864473
CDC37L1-DT	9	p24.1	4676600	4679502
AC106774.3	5	p15.1	17495658	17495826
SERPINA6	14	q32.13	94304248	94323394
ZNF347	19	q13.42	53124072	53159075
KPNA2P1	4	q21.21	80079532	80081122
AL118520.1	20	q11.22	34688688	34688978
AP003400.3	11	q14.3	89556860	89557205
AC007029.1	7	p21.3	10940423	10940735
SRI	7	q21.12	88205118	88226993
AL442224.1	9	q22.31	93857083	93858333
TGIF1P1	19	q13.32	46136746	46137547
CTNNB1	3	p22.1	41194741	41260096
LINC00374	13	q21.1	58211697	58233117
AC005899.8	17	q11.2	32423971	32446038
LINC01940	2	q37.3	238919302	238926269
PIK3C2A	11	p15.1	17077730	17207983
SDCBP2	20	p13	1309909	1329239
FDFT1	8	p23.1	11795573	11839309
SLC35F1	6	q22.2	117907526	118317676
TTTY4C	Y	q11.23	25063083	25099892
MRPL45	17	q12	38297023	38323218
COL4A3BP	5	q13.3	75356345	75512138
SEPT7P1	14	q13.2	35157904	35159099
RAET1G	6	q25.1	149916878	149923121
ARL2BPP2	12	q13.13	52763405	52763893
AC011284.1	7	p22.2	3642815	3643784
DENND6A	3	p14.3	57625457	57693089
AC016746.1	2	q33.1	199325310	199329362
AC080013.3	3	q25.32	158782547	158783124
RARRES1	3	q25.32	158696892	158732696
KIRREL2	19	q13.12	35855861	35867109
MUC20	CHR_HSCHR3_7_CTG3		195720361	195740062
LINC02084	3	p24.1	27712910	27714005
AC244636.2	X	p11.23	48153868	48155941
AL035666.1	20	q12	42606694	42607559
AC010878.1	2	p22.2	37816915	37817961
AC006369.2	2	p22.2	37744333	37747046
AL627230.3	9	q21.11	67714723	67714914
CR788268.1	9	p11.2	41979352	41983753
SPACA5B	X	p11.23	48130657	48132613
RTL6	22	q13.31	44492572	44498298
AC012313.9	19	q13.43	58500505	58501137
RPL17P20	4	q12	56710060	56710614
AC138747.8	CHR_HSCHR15_1_CTG8		28427760	28427964
AL122010.1	1	p34.3	34850694	34851555
GJB4	1	p34.3	34759741	34763724
AC066613.2	15	q21.2	51414097	51498833
AC092301.1	19	q13.32	45830164	45831108
AC006369.1	2	p22.2	37600136	37646698
AC073476.3	2	q37.1	231809846	231812352
NAPRT	8	q24.3	143574785	143578649
TM7SF2	11	q13.1	65111845	65116384
AC067930.6	8	q24.3	143578358	143583304
AP3D1	19	p13.3	2100988	2164468
RAD17P1	7	p21.1	16864267	16866308
RPS6P23	13	q32.3	99173593	99174490
AC009945.1	7	p21.3	10476581	10476878
C10orf142	10	q11.21	44292569	44294649
AC004949.1	7	p21.3	10449820	10779944
CR382333.1	CHR_HSCHR6_MHC_MANN_CTG1		29931024	29932015
FAM126A	7	p15.3	22889371	23014130
AC092941.2	3	q27.3	188001700	188003406
MICAL3	22	q11.21	17787649	18024559
ADAMTS10	19	p13.2	8580242	8610735
AC020895.1	19	p13.3	6898299	6898686
AC104076.1	2	q31.3	180979427	180980090
BEX3	X	q22.2	103376340	103378077
SENP7	3	q12.3	101324205	101513241
TSPY4	Y	p11.2	9337464	9340284
AHSP	16	p11.2	31527864	31528803
LINC02569	6	p21.33	30516266	30519217
AC130686.1	17	q21.2	41665566	41668031
IGHV1-2	CHR_HSCHR14_3_CTG1		105987353	105987854
AC138747.6	CHR_HSCHR15_1_CTG8		28346477	28346643
MAGI1-IT1	3	p14.1	65872815	65954558
MAGI1-AS1	3	p14.1	65893816	65925297
TMEM108	3	q22.1	133038391	133397792
AC021205.1	4	q28.1	122840343	122840690
CR382285.2	21	p11.2	10028361	10029855
CR382285.1	21	p11.2	9975017	10119309
ELOCP4	Y	p11.2	9230915	9231247
RBMS1	2	q24.2	160272151	160493794
C21orf62	21	q22.11	32793564	32813743
PHACTR2P1	10	q26.11	119793589	119816642
AC139451.1	3	p21.31	49775285	49775614
HERC2	CHR_HSCHR15_1_CTG8		28320122	28322152
TOMM7	7	p15.3	22812628	22822852
AC034228.3	5	q31.1	131944408	131968220
SEPT12	16	p13.3	4777669	4788521
LINC01517	10	p12.1	28743506	28941910
AL355376.1	10	p12.1	28743745	28744663
PCDHA6	5	q31.3	140827958	141012344
RPS7P11	17	q21.31	46721582	46722167
PRR12	19	q13.33	49591643	49626439
KRTDAP	19	q13.12	35487324	35495558
AC134407.2	17	q24.2	67955314	67957291
MCM4	8	q11.21	47960185	47978160
AC019330.1	2	q33.1	198493242	198772356
AL133245.1	2	p22.3	32321638	32323002
PCDHA5	5	q31.3	140821604	141012344
IFNA14	9	p21.3	21239002	21239991
IFNWP18	9	p21.3	21209189	21209779
AC005229.4	7	q36.1	148696467	148698664
AC003965.2	16	p13.3	2857898	2859726
IGHD3-10	CHR_HSCHR14_3_CTG1		105905268	105905298
AC090578.2	8	q21.3	88808318	88808908
CMTM1	16	q21	66566393	66579137
AC246787.4	CHR_HSCHR14_3_CTG1		105890855	105897348
RPS3AP47	15	q15.2	43115702	43116493
RBPJP2	9	q21.11	66635754	66637197
MARF1	16	p13.11	15594386	15643166
DAZ3	Y	q11.23	24763069	24813492
AC104394.1	2	q37.2	234743542	234745606
IGHD2-21	CHR_HSCHR14_3_CTG1		105889322	105889349
LINC01173	2	q37.1	234682668	234717764
IGHD3-22	CHR_HSCHR14_3_CTG1		105886802	105886832
IGHD4-23	CHR_HSCHR14_3_CTG1		105885641	105885659
NAV2	11	p15.1	19350724	20121598
AC008521.2	19	q13.11	33067175	33067433
AL513478.2	9	q21.11	66159954	66179430
LINC01870	2	q11.2	101479390	101486822
ERICH1	8	p23.3	614746	738106
KLHDC7A	1	p36.13	18480982	18486126
DXO	CHR_HSCHR6_MHC_COX_CTG1		31957356	31959838
KCTD9P3	9	p13.2	37477149	37478317
LINC01671	21	q22.3	42599280	42615058
MYOM1	18	p11.31	3066807	3220108
VARS2	6	p21.33	30908242	30926459
MRPS18C	4	q21.23	83455932	83469735
AANAT	17	q25.1	76453351	76470117
AC013652.2	15	q14	39300418	39310782
CBX1P5	3	q26.1	166811009	166811567
SERPIND1	22	q11.21	20773879	20787720
PTCHD1-AS	X	p22.11	22259797	23293146
FAM3C2	X	p22.11	23075758	23076767
POLR3KP2	17	q25.1	73163035	73163359
AL445984.1	13	q31.2	88571654	88572312
EIF4A3P1	18	q11.2	24522273	24522919
AL133412.1	9	q32	114845594	114848585
RPL32P23	10	p15.1	6071514	6071918
AL591926.3	9	p11.2	41648023	41648425
AL591926.2	9	p11.2	41644430	41644770
AL591926.5	9	p11.2	41573156	41573453
CBR3-AS1	21	q22.12	36131767	36175815
MCCC2	5	q13.2	71587288	71658704
COG4	16	q22.1	70480568	70523565
AC007036.2	7	p14.3	30140870	30141417
AC072022.2	3	q27.3	187743686	187746028
PCDH8P1	13	q14.3	53199981	53202753
IGHJ4	CHR_HSCHR14_3_CTG1		105864986	105865033
HMGB1P46	8	q23.1	107173200	107173809
HLA-DQA1	6	p21.32	32628179	32647062
COX6B1P4	8	p21.2	26835817	26836300
TBC1D13	9	q34.11	128787204	128810432
WNT16	7	q31.31	121325367	121341104
MYL8P	CHR_HSCHR6_MHC_MCF_CTG1		33509323	33509840
AS3MT	10	q24.32	102869516	102901899
RPL22P17	10	q24.32	102887874	102888188
HRH4	18	q11.2	24460629	24479957
ACTR3P3	3	q12.2	101163094	101163986
LINC02477	4	q32.1	160539254	160586817
EEF1A1P25	3	q22.3	138825063	138826329
NSFP1	17	q21.31	46372855	46487141
FAHD2B	2	q11.2	97083583	97094882
TMEM183AP1	CHR_HSCHR6_MHC_DBB_CTG1		29577415	29577704
AL049812.1	20	q12	41997131	41999397
AL139095.2	6	p24.3	7338839	7339568
AL049812.2	20	q12	41991140	42063969
AC011266.1	18	q12.3	40062903	40066471
AC103794.1	11	p15.2	16023190	16031515
SLC43A2	CHR_HSCHR17_1_CTG2		1569973	1628886
BBS5	2	q31.1	169479178	169506655
RPL17P41	17	q24.2	67784753	67785293
TRIM31-AS1	CHR_HSCHR6_MHC_APD_CTG1		30104215	30107221
TMEM40	3	p25.2	12733525	12769457
HESX1	3	p14.3	57197838	57227606
PDHA2	4	q22.3	95840019	95841474
IRF7	11	p15.5	612553	615999
AC147055.1	4	q13.2	68704600	68712498
TUBGCP5	CHR_HSCHR15_1_CTG3		22983146	23039654
AC016397.2	10	q11.22	48443836	48445820
CADM2	3	p12.1	84958981	86074429
AC003092.1	7	q21.3	94022833	94066661
BX284632.1	9	q21.11	65816932	65817472
AC122694.1	5	p12	45890216	45895970
PDHB	3	p14.3	58427630	58433857
ATP6V0A1	17	q21.2	42458844	42522611
ATAD3B	1	p36.33	1471769	1497848
SLC19A1	21	q22.3	45493572	45544411
FABP5P13	X	p22.33	523775	524102
LINC02517	4	p16.1	8320117	8327142
AC106881.1	4	q22.3	95549129	95552457
RPL3P2	CHR_HSCHR6_MHC_MCF_CTG1		31357419	31358618
PP2D1	3	p24.3	19979961	20012330
TRBV5-4	CHR_HSCHR7_2_CTG6		142484618	142485283
PRAMEF18	1	p36.21	13222705	13226106
AC005696.4	17	p13.3	2720801	2723947
GUSBP10	7	p11.2	57177409	57180052
LINC02025	3	p12.1	84884936	84893379
IDUA	4	p16.3	986997	1004506
AC008550.1	5	q23.1	119680197	119681080
LINC01770	1	p36.33	1430539	1434573
LINC00654	20	p12.3	5496067	5504613
AC007386.1	2	p14	64960053	64960634
SCN11A	3	p22.2	38845769	38950561
AL391244.2	1	p36.33	1420245	1422691
DNM1P50	15	q13.2	30567822	30571089
RPL12P2	6	p21.2	37091314	37091806
AICDA	12	p13.31	8602166	8612871
KRT8P43	6	p22.3	24598012	24599790
AC114781.5	4	q21.23	83369416	83369523
ADGRG5	16	q21	57542421	57591681
AC005014.2	7	p21.1	16593626	16594224
AC007390.1	2	p22.2	37194382	37194737
PLAC9	10	q22.3	80131682	80145359
SEPT1	16	p11.2	30378133	30395991
CEBPZ	2	p22.2	37201612	37231713
NPBWR2	CHR_HSCHR20_1_CTG3		64105820	64107171
L1CAM	X	q28	153861514	153886174
SLC39A11	17	q25.1	72645949	73092712
AC026150.2	15	q13.2	30516079	30517867
CEBPZOS	2	p22.2	37196488	37216193
FZR1	19	p13.3	3506273	3538330
XIAP-AS1	X	q25	123872626	123873932
MEMO1P4	X	q25	123765301	123765686
AP003733.1	11	q12.3	62011751	62012602
FP236383.1	21	p11.2	8380665	8410645
FP236383.2	21	p11.2	8393419	8394341
AC116158.1	15	q14	38502853	38504981
FP671120.4	21	p11.2	8254592	8255514
ABCB1	7	q21.12	87503633	87713323
AC068491.4	2	q13	111321433	111324812
ARF4P4	13	q31.1	80888348	80888867
AP003781.1	11	q21	96508425	96514748
CCND3P1	10	p11.23	30403197	30403776
Z77249.1	X	q26.2	133141300	133143940
IGSF5	21	q22.2	39745407	39802096
LINC01077	13	q14.2	48570639	48573317
PTPMT1	11	p11.2	47565430	47573461
SPRY2	13	q31.1	80335976	80340951
MTAPP1	3	q25.32	158609610	158610857
AP000688.1	21	q22.12	36069642	36126640
RMRP	9	p13.3	35657751	35658018
MIR4432HG	2	p16.1	60336446	60439828
HOTAIRM1	7	p15.2	27095647	27100265
SIT1	9	p13.3	35649295	35650950
YPEL4	11	q12.1	57645087	57649944
AP000662.1	11	q12.1	57638024	57652790
N6AMT1	21	q21.3	28872191	28885371
NDUFB4P12	4	p13	43898962	43899351
TRIM60P9Y	Y	q11.223	23058030	23059186
AC010928.1	18	q21.32	60611773	60654623
AC211856.1	CHR_HSCHR17_1_CTG1		352806	353888
DPY19L2P5	10	q22.3	79982910	79983240
SMPX	X	p22.12	21705972	21758163
RPL23AP82	22	q13.33	50756948	50801309
AC009063.3	16	q23.3	83710179	83717898
AL020997.2	1	p35.3	27773858	27774041
BLNK	10	q24.1	96191702	96271587
STX16-NPEPL1	20	q13.32	58651434	58715410
AL357033.4	20	q13.33	62648961	62650767
AL357033.1	20	q13.33	62640719	62643304
AP002748.2	11	q13.2	66454234	66454581
KCNE1B	21	p11.2	7816675	7829926
SOSTDC1	7	p21.1	16461481	16530580
LRRC72	7	p21.1	16526880	16581568
C2	CHR_HSCHR6_MHC_QBL_CTG1		31888164	31936056
AC092745.2	12	p13.31	8320381	8369555
IMPACT	18	q11.2	24426616	24453535
SMIM11B	21	p11.2	7744962	7777853
ESM1	5	q11.2	54977864	55022671
MC4R	18	q21.32	60371062	60372775
DPH3P2	X	q28	155875636	155875885
RPL30P9	8	p21.3	20113343	20113672
AC009812.2	8	q21.13	80568050	80568506
LINC01596	CHR_HSCHR4_6_CTG12		189885470	189888818
C15orf41	15	q14	36579611	36810248
AF250324.2	CHR_HSCHR4_6_CTG12		189703881	189704490
RIPK3	14	q12	24336021	24340045
ARL2BPP8	17	q22	54754165	54754649
LINC01697	21	q21.3	28048404	28137611
LINC02570	CHR_HSCHR6_MHC_MANN_CTG1		30884177	30892811
AC112198.2	5	q11.2	54808210	54872551
LINC00314	21	q21.3	28013363	28023233
AC090621.1	18	q21.32	60294151	60301118
UBE2L6	11	q12.1	57551656	57568284
SLC29A4P1	7	p11.2	57014285	57020273
AL022332.2	22	q11.23	25282943	25300791
IER3	CHR_HSCHR6_MHC_MANN_CTG1		30787857	30789212
EFL1P1	15	q25.2	84080168	84126604
AC234781.3	X	q28	155292169	155293432
HMGB3P20	7	p15.2	26982768	26983367
TFPI2	7	q21.3	93885396	93890991
WAC	10	p12.1	28532493	28623112
AC002075.1	7	q21.3	93777839	93778514
LAMP5	20	p12.2	9514358	9530524
AC006960.1	7	p14.2	36305631	36305904
CERNA1	15	q21.2	52180093	52205874
TGS1	8	q12.1	55773142	55825448
LINC01033	5	q11.2	54320944	54415125
RPL37P25	5	q11.2	54399439	54400033
STX17-AS1	9	q31.1	99886322	99906601
RPSAP10	10	p12.1	28436201	28437078
PPIAP41	11	p11.2	43466392	43466871
PACSIN2	22	q13.2	42835412	43015145
INTS9-AS1	8	p21.1	28798142	28802085
OR4Q3	14	q11.2	19743571	19749469
Z98885.1	22	q13.33	49817248	49817712
AGPAT1	CHR_HSCHR6_MHC_SSTO_CTG1		32175884	32185768
Z98885.3	22	q13.33	49805452	49807208
SRM	1	p36.22	11054584	11060024
DHX36	CHR_HSCHR3_2_CTG2_1		154275723	154284039
C4orf45	4	q32.1	158893134	159038760
LINC00511	17	q24.3	72290091	72640472
RPL32P33	17	q24.3	72627231	72627624
MED15P6	14	q11.2	19485336	19489148
PLIN3	19	p13.3	4838341	4867768
METRNL	17	q25.3	83079691	83095119
OR51K1P	11	p15.4	5430653	5431602
AC019163.1	4	q34.2	176308268	176320458
WT1-AS	11	p13	32435518	32458769
HTATSF1P1	CHR_HSCHR6_MHC_MANN_CTG1		33391691	33393582
AP000275.1	21	q22.11	32624416	32625096
AC104574.2	15	q22.2	61298791	61635449
OR52U1P	11	p15.4	5719290	5720212
TTC3-AS1	21	q22.13	37187666	37193926
NDUFB9P1	5	q13.2	69349936	69350445
CABLES2	20	q13.33	62388632	62407285
CD2BP2	16	p11.2	30350766	30355361
AL513523.8	CHR_HSCHR1_1_CTG31		153768214	153769407
DDR1	CHR_HSCHR6_MHC_QBL_CTG1		30870550	30889733
POU5F1	CHR_HSCHR6_MHC_MANN_CTG1		31209245	31215620
TBC1D3I	CHR_HSCHR17_10_CTG4		36355285	36366216
SLC27A3	CHR_HSCHR1_1_CTG31		153791585	153797388
SLCO4C1	5	q21.1	102233986	102296549
AC008026.1	17	q23.2	62516321	62516767
AC008870.5	16	p12.2	23696665	23697314
AC025449.1	5	p13.2	37286449	37286977
ERN2	16	p12.2	23690326	23713500
MOXD2P	CHR_HSCHR7_2_CTG6		142240759	142247086
AL121832.3	20	q13.33	62402236	62405935
TRIM39-RPP21	6	p22.1	30328907	30346854
WDSUB1	2	q24.2	159235793	159286799
TRIM39	6	p22.1	30326479	30343729
AC254633.1	1	p36.21	12618900	12619244
TCAF1	7	q35	143851375	143902198
AADACL4	1	p36.21	12644547	12667086
FAM111A	11	q12.1	59142748	59155039
AL035045.2	CHR_HSCHR20_1_CTG1		17814608	17815038
AC207480.1	CHR_HSCHR20_1_CTG1		17872581	17878345
